name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new delhi,2024-06-07,42,28.8,35.6,43.2,28.4,35.4,14.2,29.9,0,0,0,,0,0,33.5,18.4,259.8,1002.6,25.8,3.8,312.8,27.2,10,10,2024-06-07T05:22:53,2024-06-07T19:17:31,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
new delhi,2024-06-08,41,30.4,35.8,42.1,30.3,35.7,14.5,29.5,0,0,0,,0,0,37.1,18.4,275.5,1001.4,33.9,4,317.3,27.5,10,10,2024-06-08T05:22:49,2024-06-08T19:17:57,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
new delhi,2024-06-09,42,28.4,36,40.4,29.4,34.8,11.4,25.3,0,0,0,,0,0,31.7,18.4,280.5,1001.3,4.7,4.2,325.4,28.1,10,10,2024-06-09T05:22:47,2024-06-09T19:18:22,0.09,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
new delhi,2024-06-10,43.2,30.8,37.3,42.9,30.8,36.3,11.9,23.5,0,0,0,,0,0,37.1,18.4,291,1001.3,23.1,4.2,324.3,28,10,10,2024-06-10T05:22:47,2024-06-10T19:18:46,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
new delhi,2024-06-11,44,29.4,37.2,44,29.7,36.4,11.8,24.1,0,0,0,,0,0,35.3,16.6,272.5,1000.6,31.3,4.1,327,28.2,10,10,2024-06-11T05:22:48,2024-06-11T19:19:09,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
new delhi,2024-06-12,44.1,30.3,37.6,44.1,30.7,37,12.1,24.1,0,0,0,,0,0,35.6,16.6,268.8,1000.4,14.9,4.5,328.7,28.2,10,10,2024-06-12T05:22:50,2024-06-12T19:19:31,0.19,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
new delhi,2024-06-13,45,31.1,38.8,45,32,38.6,12.9,23.4,0,0,0,,0,0,46.4,18.4,258.8,999.2,34.8,4.4,318.4,27.4,10,10,2024-06-13T05:22:53,2024-06-13T19:19:52,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
new delhi,2024-06-14,44,33,37.8,44.9,33.3,38.4,16.1,28.7,0,0,0,,0,0,47.2,24.1,251.9,998.7,47.9,3.8,274.8,23.8,10,10,2024-06-14T05:22:57,2024-06-14T19:20:12,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
new delhi,2024-06-15,45,32,38.3,45,32,38.8,15.5,27.8,0,0,0,,0,0,46.4,27.7,262.9,998.7,26.9,4.4,319.3,27.4,10,10,2024-06-15T05:23:03,2024-06-15T19:20:32,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
new delhi,2024-06-16,45,33,39.1,45.8,33,40.1,16.2,27.7,0,0,0,,0,0,46.4,24.9,267.3,999.1,11.8,4.2,318.4,27.3,10,10,2024-06-16T05:23:10,2024-06-16T19:20:50,0.31,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
new delhi,2024-06-17,45,34,39.5,46.7,34.1,41,17.5,28.8,0,0,0,,0,0,41,23.6,265.4,999,17.3,4.2,318,27.4,10,10,2024-06-17T05:23:18,2024-06-17T19:21:07,0.35,Clear,Clear conditions throughout the day.,clear-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
new delhi,2024-06-18,44,34.8,39.5,48.6,36.9,42.2,18.9,31.1,0,0,0,,0,0,42.8,25.2,259.2,996.8,23.5,4.1,303,26.3,9,10,2024-06-18T05:23:27,2024-06-18T19:21:23,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42182099999,42176099999,VIDP,42139099999,42181099999"
new delhi,2024-06-19,43,31,38.8,46.6,31.8,41.4,18.7,31.8,0.8,100,16.67,rain,0,0,55.4,27.7,256.3,995.6,34.9,4.3,283,24.6,9,30,2024-06-19T05:23:38,2024-06-19T19:21:39,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42182099999,VIDP,42181099999"
new delhi,2024-06-20,38,30,33.6,41.3,30.8,35.7,19.4,43.7,2.1,100,20.83,rain,0,0,46.4,27.7,64.8,998,55.3,4,312.8,27.1,9,10,2024-06-20T05:23:49,2024-06-20T19:21:52,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,VIDP
new delhi,2024-06-21,38,27,31.8,41.3,30,35.6,22.2,58.4,1.4,100,12.5,rain,0,0,37.1,18.4,323.1,1000,65.3,3.6,307.1,26.5,9,10,2024-06-21T05:24:02,2024-06-21T19:22:05,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,VIDP
new delhi,2024-06-22,38,29,33.1,43.1,32.6,37.2,22.1,53.9,0.3,100,12.5,rain,0,0,11.2,16.6,83,1000,58.5,3,292.5,25.2,9,10,2024-06-22T05:24:15,2024-06-22T19:22:17,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,VIDP
